n_amenageur;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations
Aix-Marseille-Provence;FR*M13*P13207*003;MARSEILLE-7E - 12 Place Du Colonel Edon;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-7E;13207;5.370056;43.286242;0;FR*M13*E13207*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13111*001;VAUVENARGUES - 5  Boulevard Moraliste;Allée des Coudercs - Parking aire de jeu 0 VAUVENARGUES;13111;5.598967;43.555415;0;FR*M13*E13111*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13111*001;VAUVENARGUES - 5  Boulevard Moraliste;Allée des Coudercs - Parking aire de jeu 0 VAUVENARGUES;13111;5.598967;43.555415;0;FR*M13*E13111*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13204*001;MARSEILLE-4E - Avenue Des Chutes Lavie;Avenue Des Chutes Lavie 13004 MARSEILLE-4E;13204;5.397974;43.315138;2;FR*M13*E13204*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13211*003;MARSEILLE-11E - 71 Boulevard Saint-Marcel;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-11E;13211;5.459582;43.288847;0;FR*M13*E13211*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*006;MARSEILLE-13E - 101 Rue Alphonse Daudet;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-13E;13213;5.409596;43.320297;0;FR*M13*E13213*006*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*004;ISTRES - Parvis Hotel De Ville - Esplanade Bernadin Laugier;Parvis Hotel De Ville - Esplanade Bernadin Laugier 13800 ISTRES;13047;4.988923;43.516083;6;FR*M13*E13047*004*6;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13928*001;ENTRESSENS - Place Dei Blagiaires;Place Dei Blagiaires 13118 ENTRESSENS;13928;4.939013;43.593007;0;FR*M13*E13928*001*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*001;MARSEILLE-13E - Avenue Des Poilus;Avenue Des Poilus 13013 MARSEILLE-13E;13213;5.455123;43.32522;2;FR*M13*E13213*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13075*002;PLAN-DE-CUQUES - Avenue Georges Pompidou;Avenue Georges Pompidou 13380 PLAN-DE-CUQUES;13075;5.463668;43.343455;2;FR*M13*E13075*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
